run,fold,kernel_family,failed,n_lipids,wall_time_sec,test_rmse_z_mean,test_rmse_z_median,test_corr_mean,test_corr_median,test_r2_mean,test_r2_median,mean_pred_std_z_mean,mean_pred_std_z_median,fit_sec_mean,fit_sec_median
FOLD-2-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.910,fold_2,manifold,False,5,5177.784440279007,0.8104750275611877,0.8289136290550232,0.47166631633402434,0.508761551839036,0.2466032030179725,0.2552778349768636,0.8526549696922302,0.8612841367721558,1032.0952684402466,1032.0952684402466
FOLD-2-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9510,fold_2,manifold,False,5,5204.095584630966,0.8103049278259278,0.8305399417877197,0.47206556351566054,0.5127871557520963,0.2471805868305041,0.2606720294501164,0.8518490195274353,0.8567872643470764,1037.39503698349,1037.39503698349
FOLD-2-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9710,fold_2,manifold,False,5,4994.096535205841,0.8126927137374877,0.8358677625656128,0.4670960586536994,0.5107680004646705,0.24339337284015938,0.2582664909439156,0.8542241096496582,0.8557490706443787,995.6778800010682,995.6778800010682
FOLD-2-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn310,fold_2,manifold,False,5,5103.292544841766,0.817835807800293,0.8362495303153992,0.46080461076675905,0.4890128660706057,0.23432702344119657,0.2345853982054193,0.8580416202545166,0.8695070743560791,1016.3110240936279,1016.311024093628
FOLD-2-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.910,fold_2,manifold,False,5,4243.875089883804,0.8102129578590394,0.8288283944129944,0.47170624358521585,0.5088328818701051,0.24710953152490447,0.255824932674364,0.8524315237998963,0.8609256148338318,845.5162546157837,845.5162546157837
FOLD-2-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.9510,fold_2,manifold,False,5,2959.2504065036774,0.8101434111595154,0.8305028676986694,0.47204425549949436,0.5127629668063666,0.2475098000106115,0.2609405444810071,0.8517879843711853,0.8567067384719849,589.5367587566376,589.5367587566376
FOLD-2-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn3-prune0.9710,fold_2,manifold,False,5,2888.9220929145813,0.8126838326454162,0.8358935117721558,0.46703717147409335,0.5106788740217263,0.24342309567010786,0.2582036241519807,0.8541922688484191,0.8557847142219543,574.9230408191681,574.9230408191681
FOLD-2-learnls-manifold-nu2-K100-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-rootdissolve-dn310,fold_2,manifold,False,5,3088.968116044998,0.8175731182098389,0.836186408996582,0.4609381226673116,0.4886777948962025,0.23486040437755862,0.2346461619801151,0.8581905126571655,0.8698399066925049,615.4338811397553,615.4338811397553
FOLD-2-learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.910,fold_2,manifold,False,5,13096.65555357933,0.7479797005653381,0.7629526853561401,0.5609254851770741,0.6297863481552021,0.3416895735256281,0.3892629873171952,0.7722062587738037,0.7638559341430664,2611.620316171646,2611.620316171646
FOLD-2-learnls-manifold-nu2-K1300-stride4-learnls-bs1.0-bd0.01-bw0.1-knn15-faiss_atlas_weighted-5-randomwalk-ind1000-lr0.05-ep20-lbs10-blend0.8-infl50-ptls-rootdissolve-dn3-prune0.9510,fold_2,manifold,False,5,6572.458352088928,0.748716390132904,0.7633295655250549,0.5602044614388919,0.6302292034743282,0.3407969730698842,0.3886594213695725,0.775826096534729,0.7680819034576416,1309.1448238372802,1309.1448238372802
