model,kernel_family,is_full,n_lipids,n_folds,n_runs,test_r2_mean,test_r2_median,test_corr_mean,test_corr_median,test_rmse_z_mean,test_rmse_z_median
[full] MANIFOLD-RSAMPLE-5-4-K300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9710,whole-brain Riemann manifold latent GP (inducing-point),True,5,8,8,0.3578399623369795,0.3947899484493621,0.5804680799186476,0.6409023451065556,0.7873787429757456,0.7779509460332436
[full] SPECTRAL-5-4-K1300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.97-learndiff1.0-learnspecw10,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.36170624333978374,0.39340325108987606,0.5838664808707358,0.6445341260096238,0.7846091403605705,0.7788417906573571
[full] MANIFOLD-RSAMPLE-5-4-K300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.9510,whole-brain Riemann manifold latent GP (inducing-point),True,5,8,8,0.3601217148092263,0.3929183235935848,0.5827074737625012,0.6380477239202693,0.785378508843103,0.7791536087933213
[full] SPECTRAL-5-4-K1300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.95-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.3574318628104188,0.3916134430369252,0.5818617985338347,0.6474956192485306,0.7870288704217536,0.7799798761389642
[full] SPECTRAL-5-4-K2300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.35723832107717546,0.3914100414348298,0.5829346938479875,0.6476152594906615,0.7870854861371136,0.7801147059147662
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-rootdissolve-dn3-prune0.97-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.36243300061630546,0.39081633556130146,0.5844607566744792,0.6451582086108036,0.784337922268352,0.7804896135746577
[full] SPECTRAL-5-4-K1300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.97-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.3558335768894709,0.3889563741798261,0.5801484633234854,0.6492021051138007,0.7881541044575935,0.7816888001184272
[full] SPECTRAL-5-4-K1300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.9-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.3579993812305081,0.3878315604570409,0.5818016835563833,0.6474390173847273,0.7867906419658918,0.7823880070221065
[full] SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-learndiff1.010,whole-brain Riemann manifold latent GP (spectral / weight-space eigenbasis),True,5,8,8,0.3622145494356917,0.38773648019159823,0.5833383853519927,0.6453427901195994,0.7844304101952752,0.7824711484175633
[full] MANIFOLD-RSAMPLE-5-4-K1300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.910,whole-brain Riemann manifold latent GP (inducing-point),True,5,8,8,0.34125274358864777,0.38660302492643334,0.5735142447500635,0.6328005619165233,0.7965144285652614,0.783193985794506
[full] MANIFOLD-RSAMPLE-5-4-K1300-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9510,whole-brain Riemann manifold latent GP (inducing-point),True,5,8,8,0.32569749070258663,0.38182916945689316,0.5648572395412662,0.632910268705473,0.8056148285714972,0.7862382308253864
