lipid,model,family,n_folds,n_runs,r2_mean,r2_median,r2_min,r2_max,corr_mean,corr_median,corr_min,corr_max,rmse_mean,rmse_median,rmse_min,rmse_max,mae_mean,mae_median,mae_min,mae_max
PS 42:9,SPECTRAL-GPLFR-spectral-d810,gplfr,8,8,0.30346466315494114,0.30667688913320484,0.2268266555956665,0.4073885616933891,0.5630227079248764,0.5575383081171061,0.5059011620508204,0.6431087436749147,0.000135817892096375,0.0001355043654282,0.0001296447434533,0.0001438734652933,0.00010535315704628279,0.0001057715671902,9.962812953376235e-05,0.0001109374292499
PS 42:9,RIEMANN-GPLFR-riemann-d810,gplfr,8,8,0.2994195348568485,0.29991724029821354,0.2250189634731213,0.3990387963094542,0.5586592128560748,0.5502487983667272,0.5036673273511867,0.6358555895045711,0.0001362355923152875,0.0001364482451875,0.0001305548817762,0.0001444757228436,0.00010568280646842501,0.00010579117456105,0.0001004691137713,0.000111197777045
PS 42:9,RES512-TV05-SOTA-NTF-1638410,sota,8,8,0.1727290170559581,0.17921225045196135,0.0423184094030917,0.2491238679699807,0.5159882580154843,0.5084200449442892,0.4925195628388519,0.5601932273102901,0.00014802055034443748,0.00014657039906359998,0.0001459331807544,0.00015584687636,0.0001087829559257625,0.00010800164365805,0.0001056676040244,0.0001144753877248
PS 42:9,RES256-TV20-SOTA-NTF-1638410,sota,8,8,0.17404368904356904,0.17790780665044958,0.06953766550679,0.2433040881528634,0.5194354592649475,0.5161453191540685,0.4811574047654798,0.5533349769549418,0.0001479474653936375,0.0001471988612418,0.0001442518494397,0.0001568900010379,0.0001084647580612,0.00010768147697,0.0001058028721602,0.0001150409589759
PS 42:9,RES256-TV05-SOTA-NTF-1638410,sota,8,8,0.17383038412376728,0.17683358741514044,0.0693710444638974,0.2468213762808613,0.5190090361153263,0.5150054516049203,0.4812701614973783,0.5562733092129493,0.000147961116586225,0.00014705233300634998,0.0001442647646953,0.0001567306539077,0.0001085185333491375,0.0001076393394261,0.000105794112329,0.000114910099374
PS 42:9,RES256-TV00-SOTA-NTF-1638410,sota,8,8,0.16922257735862822,0.17594495498918472,0.0580453244844092,0.2418851814922632,0.5197623225153697,0.5156638578691404,0.484850814135979,0.5551819215810625,0.00014837401341785,0.00014714796258755,0.0001451399584051,0.0001574974142593,0.0001087312101844625,0.0001077324231556,0.0001061771859938,0.0001150947205029
PS 42:9,RES128-TV05-SOTA-NTF-1638410,sota,8,8,0.16857450336813953,0.1712200410418141,0.0490745649779742,0.2472772621109621,0.5228219153234488,0.5204360350798825,0.4871647583690078,0.559662381010472,0.000148374923000925,0.00014723096380315,0.0001458294450727,0.0001554154855284,0.0001087272669722,0.000108288579169,0.0001055602183971,0.0001142439633113
PS 42:9,BASELINES-LINEAR-25610,baseline,8,8,0.04386051114990747,0.04577894657273255,0.0251229659484921,0.0616142525168071,0.2246271126878795,0.2366151769800754,0.1740917619649205,0.2606739095134812,0.00015948278674027502,0.00015874659790260002,0.0001475512629229,0.0001759548326349,0.00012598820357945,0.0001239531312653,0.0001186409742221,0.0001379175795726
PS 42:9,BASELINES-MEAN-25610,baseline,8,8,-0.007991805676337036,-0.005298795231208,-0.0369855749771783,-9.659175400478226e-05,3.609897078118363e-09,1.5386457286817545e-08,-3.1573759484246845e-08,1.9998010451312632e-08,0.000163772519232875,0.00016280801804865,0.0001495522546474,0.0001814732583946,0.00013136475105906252,0.00013031145574345,0.0001211131960633,0.0001449484300409
PS 42:9,ZW03-HILBERT-SOTA-SPA3D-409610,sota,8,8,-1.050944731303617,-1.0661558331153174,-1.3727657102606503,-0.4556190247130394,0.35204772316736355,0.353755613950678,0.2448355925112789,0.4354710537611634,0.000232153316667,0.00023276663898860002,0.0002150057829307,0.0002442353515852,0.0002030711293943875,0.00020402906256934998,0.0001841241072364,0.0002154817866163
PS 42:9,WITHIN-REG03-DEEPSPATIAL-TRANSPORT-256-6-100-WITHIN-MOUSE10,sota-deepspatial,8,8,-64.05512727158258,-4.638664513839835,-477.1525521063461,-0.8741908510496117,0.1529392266773225,0.1441573657031059,0.0355422065719815,0.2527139437910403,0.0007815207351977249,0.00039629796967885,0.0002267923265345,0.0036604020193184,0.00048210920466570007,0.00027425746987955,0.0001689118854453,0.0020155281330853
PS 42:9,CROSS-REG03-DEEPSPATIAL-TRANSPORT-256-6-100-CROSS-MOUSE10,sota-deepspatial,8,8,-15.044445335285134,-15.081549285500937,-32.37708468592572,-1.9269403322282173,0.003376546841981288,0.02498539437562915,-0.1142425661145348,0.1072619554437842,0.0006077594574423375,0.0006597872725027,0.000282210532456,0.0009949870459896,0.0003730054382014125,0.00038912785134269997,0.0002102127393835,0.0005415661136582
PS 42:9,CROSS-REG08-DEEPSPATIAL-TRANSPORT-256-6-100-CROSS-MOUSE10,sota-deepspatial,8,8,-51.26332805736545,-15.93289898126033,-260.9278573866841,-1.3196565732277192,0.03348577689950065,0.02620299829565425,-0.0510293619646084,0.1901615857131384,0.00093362439064385,0.00067820775102645,0.0002512338360704,0.0027091708394798,0.0004924690947952625,0.00040987093799745,0.0001866508903477,0.0012975825794242
PS 44:10,LGPALL-MEAN-5-data-2000-1000-learnind-ard10,lgp,8,8,0.3926834976054878,0.3808090920739507,0.3306235515473777,0.462262820812138,0.6338669025944492,0.6286857071402234,0.5853817696339854,0.6804740393269703,0.0001273337693843875,0.0001279246168098,0.0001173809139795,0.0001362026915279,8.25447388393193e-05,8.271918002561893e-05,7.517526869832441e-05,8.815057308401904e-05
PS 44:10,LGPALL-MEAN-5-reference-2000-1000-learnind-ard10,lgp,8,8,0.3977683449929468,0.3782505086816496,0.3156472445416659,0.4675948219986934,0.6354965674794211,0.6199436901676352,0.5752168739603644,0.6842435181242023,0.0001267801577223,0.0001257140572552,0.0001146415659392,0.0001364918590773,8.232037723214523e-05,8.228387315875125e-05,7.44994323321007e-05,8.836728082794048e-05
PS 44:10,LGPALL-MEAN-5-data-2000-1000-learnind-ard10_log,lgp,8,8,0.35544940539740605,0.3642461654764314,0.2804354792842027,0.4337236817580343,0.6252004583532267,0.614754696656474,0.5726891637062272,0.6758494003150489,0.000131055157882375,0.00013208544016619998,0.0001224239359926,0.0001389416922241,8.724780209069107e-05,8.784608587758031e-05,8.079117808863124e-05,9.36996764661584e-05
PS 44:10,LGPALL-MEAN-5-reference-2000-1000-learnind-ard10_log,lgp,8,8,0.35497361775198155,0.3615770611227065,0.2841689070670938,0.436724302739921,0.6258627698716502,0.6151415752639264,0.5702398378881113,0.6774794611497329,0.000131128876921425,0.00013133341082755,0.00012299895253,0.0001387840944996,8.736139339911764e-05,8.8160188258415e-05,8.05373418480095e-05,9.313160782006576e-05
PS 44:10,BASELINES-MLP-25610,baseline,8,8,0.38508666654458035,0.36140270854071116,0.3442164426979845,0.4486480284192148,0.6274745113226506,0.6143852218130342,0.5936856303075925,0.6726825250233717,0.0001281568267573875,0.0001276824401487,0.000118030959156,0.0001384820454003,8.29307782997343e-05,8.30350624372536e-05,7.550997407855355e-05,8.877821428707735e-05
PS 44:10,SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.95-learndiff1.010,spectral,8,8,0.37164382949254815,0.3610245241605904,0.3079715791288576,0.4488911387852092,0.6195501210212289,0.609859808407065,0.5667691544718486,0.6711390397115405,0.0001294833422257375,0.00012952965410035,0.0001194356317733,0.0001385875209083,8.379741462526892e-05,8.440237273640426e-05,7.581645155900379e-05,8.993482840568621e-05
PS 44:10,SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.97-learndiff1.0-learnspecw10,spectral,8,8,0.37303947768604745,0.359747522747604,0.303336958311964,0.4552996714602634,0.6196305717203844,0.6071743686514658,0.5634671814781507,0.6762284299170638,0.00012933724480418749,0.00012907838817865,0.0001189534469255,0.0001390901911646,8.358254541996862e-05,8.411434759330616e-05,7.614134555173951e-05,8.928229020543545e-05
PS 44:10,SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-level_5annot-rootdissolve-dn3-prune0.9-learndiff1.010,spectral,8,8,0.3715603215696984,0.35875110320259884,0.2891586596848327,0.4708534812931447,0.6182541391334886,0.6066276957346837,0.555868982477479,0.6872426904136968,0.000129468880067875,0.00013020341057095,0.000118715130485,0.0001386004875147,8.371333352178605e-05,8.437001722979738e-05,7.565765623435731e-05,9.080723173850668e-05
PS 44:10,MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9710,manifold,8,8,0.37771691430694593,0.358565745169791,0.3179236404579963,0.4611027063737086,0.6221275590622598,0.6124224177993604,0.5747474405699122,0.6811244648410382,0.0001288854667751625,0.00012932333979545,0.0001180374601951,0.0001393077109551,8.367433076324114e-05,8.370686264621936e-05,7.578572511259704e-05,9.010689006564783e-05
PS 44:10,SPECTRAL-5-4-K100-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-rootdissolve-dn3-prune0.95-learndiff1.010,spectral,8,8,0.37106389980910875,0.3573603502293772,0.3088902162514964,0.4436987931058639,0.6183733345128595,0.6044471182825562,0.5681995943287604,0.6676485482915874,0.00012955188346219998,0.00012935251635255,0.0001190011009607,0.0001387641970635,8.396258364246124e-05,8.479885403984419e-05,7.562901479600091e-05,8.987140027478479e-05
PS 44:10,MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.910,manifold,8,8,0.37343214242154776,0.35699851631669377,0.276466436896182,0.4408592583786549,0.6194646348324271,0.6086160603757393,0.5524981165665901,0.6680251528442441,0.0001293410356427125,0.0001277096199901,0.0001173644220098,0.0001400957170118,8.379864325879481e-05,8.314795660254766e-05,7.547649189785293e-05,9.089680011501169e-05
PS 44:10,SPECTRAL-5-4-K300-reference-5-1000-faiss-1-15-randomwalk-2-1.0-0.01-0.1-1.010,spectral,8,8,0.37412230284721193,0.3560016679746873,0.313331114173941,0.4574042917003433,0.621412733427853,0.6083586353558346,0.5711725486663614,0.6775773687132342,0.000129229388671825,0.00012886800045405002,0.0001201993059731,0.0001388841566588,8.355094719199129e-05,8.403796049199998e-05,7.781091884817004e-05,8.90352607715737e-05
PS 44:10,MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-rootdissolve-dn3-prune0.9510,manifold,8,8,0.3725957014391922,0.35494115143810123,0.3049053866470134,0.4423388909236395,0.6193164514691574,0.6071575174799966,0.5689383391589518,0.6690211409570986,0.00012942416948898751,0.00012911830104395,0.0001180335403442,0.0001391625112407,8.407306510325712e-05,8.37574358833917e-05,7.629106087925066e-05,8.990810674728269e-05
PS 44:10,SPECTRAL-5-4-K100-reference-5-1000-faiss_cluster_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-clk64-sw1.0-cs010,spectral,8,8,0.3702149389757742,0.35451200516145187,0.302596864305261,0.4475498495361376,0.6171600718719353,0.6082310448833559,0.5619306595192132,0.6727222398459786,0.0001296454771523,0.00012998794144425,0.0001183816797564,0.0001396845809372,8.390790638535063e-05,8.400297733377766e-05,7.580942498645398e-05,9.074480579006362e-05
PS 44:10,SPECTRAL-5-4-K300-reference-5-1000-faiss_cluster_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-clk64-sw1.0-cs010,spectral,8,8,0.3727134498560304,0.35427468177335897,0.318790300056807,0.4550375183495732,0.6206498567616707,0.6057546197225036,0.5781611150221034,0.6785174448467507,0.0001293724237223125,0.0001293006317204,0.000120013444992,0.0001399451880681,8.339696536352416e-05,8.40691843608692e-05,7.617717384829925e-05,8.898916085053599e-05
PS 44:10,SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-rootdissolve-dn3-prune0.9-learndiff1.010,spectral,8,8,0.370849042062483,0.3538233429185804,0.3123797505155383,0.4528537289160079,0.619158290028036,0.6066229493080219,0.5726955032681563,0.6757543244076833,0.00012956707408705,0.00012937473745685,0.0001200360392393,0.0001396641489838,8.394640297976048e-05,8.440915797779302e-05,7.73161013943706e-05,8.957142467829488e-05
PS 44:10,MANIFOLD-RSAMPLE-5-4-K100-reference-5-data-1000-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-learndiff1.0-blend0.8-level_5annot-rootdissolve-dn3-prune0.9510,manifold,8,8,0.3728338616411994,0.35339595728836704,0.3178207853177816,0.4400953178145184,0.6181678772924226,0.6049237998019869,0.5751086415985195,0.6662685087690985,0.000129396007140975,0.0001293005596733,0.000117555385607,0.0001397761383568,8.382973872473083e-05,8.417447876443463e-05,7.527121439096011e-05,9.03020087217746e-05
PS 44:10,SPECTRAL-5-4-K300-reference-5-1000-faiss_atlas_weighted-50-15-randomwalk-2-1.0-0.01-0.1-1.0-rootdissolve-dn3-prune0.97-learndiff1.010,spectral,8,8,0.3692662355218955,0.3533526661287606,0.2969837087509247,0.4558109300747539,0.6165550639592685,0.6033703891583297,0.5573227217208585,0.6769240864816218,0.0001297121291066375,0.0001302349835111,0.0001185139381645,0.0001393210102104,8.419857217592874e-05,8.463160651338706e-05,7.558607770347665e-05,9.161834207970166e-05
